"";"JobTitle";"Gender";"Age";"PerfEval";"Education";"Dept";"Seniority";"BasePay";"Bonus"
"386";"Warehouse Associate";"Female";24;3;"High School";"Management";1;64624;8253
"387";"Driver";"Male";49;4;"Masters";"Administration";5;118629;6740
"388";"Data Scientist";"Male";19;2;"PhD";"Management";5;80171;6454
"389";"Sales Associate";"Female";47;3;"College";"Administration";4;105410;6363
"390";"Software Engineer";"Male";36;4;"PhD";"Management";3;112134;8587
"391";"Warehouse Associate";"Female";42;3;"Masters";"Engineering";1;90005;6631
"392";"Marketing Associate";"Female";50;5;"High School";"Operations";1;70374;7466
"393";"Manager";"Male";21;2;"College";"Administration";5;121682;7189
"394";"Marketing Associate";"Female";49;4;"PhD";"Operations";5;104355;7555
"395";"IT";"Female";49;4;"College";"Engineering";1;75811;5520
"396";"Sales Associate";"Male";48;3;"Masters";"Engineering";5;113544;6839
"397";"Graphic Designer";"Female";22;2;"Masters";"Operations";4;107025;6577
"398";"Financial Analyst";"Male";20;3;"PhD";"Operations";3;78564;7875
"399";"Financial Analyst";"Male";47;5;"College";"Operations";3;91905;7614
"400";"Financial Analyst";"Male";60;5;"High School";"Engineering";4;121728;7932
"401";"Marketing Associate";"Male";27;4;"College";"Management";1;54817;6519
"402";"Sales Associate";"Male";20;3;"College";"Operations";1;37898;6448
"403";"IT";"Male";59;5;"PhD";"Operations";1;79544;6760
"404";"Data Scientist";"Female";20;3;"High School";"Engineering";1;40056;7632
"405";"IT";"Female";45;4;"College";"Operations";2;70846;7404
"406";"Marketing Associate";"Female";34;3;"High School";"Sales";5;79707;7196
"407";"Software Engineer";"Male";59;4;"High School";"Operations";4;124817;7268
"408";"Manager";"Male";53;4;"College";"Management";1;123114;6946
"409";"Financial Analyst";"Female";20;3;"High School";"Operations";3;62377;6999
"410";"Data Scientist";"Male";28;3;"Masters";"Sales";3;82850;5794
"411";"IT";"Female";38;4;"High School";"Sales";2;75932;7003
"412";"Manager";"Male";43;3;"PhD";"Management";2;121949;6739
"413";"Marketing Associate";"Female";36;3;"PhD";"Sales";3;82755;7325
"414";"Data Scientist";"Male";45;3;"PhD";"Administration";5;122037;8147
"415";"Warehouse Associate";"Female";19;2;"Masters";"Administration";2;78021;6970
"416";"IT";"Male";18;4;"PhD";"Sales";1;56309;7559
"417";"Financial Analyst";"Male";59;5;"PhD";"Management";1;90002;8123
"418";"IT";"Male";34;3;"College";"Sales";4;91066;6257
"419";"Manager";"Male";32;3;"Masters";"Management";5;118088;7721
"420";"Software Engineer";"Male";29;3;"Masters";"Operations";2;92099;7246
"421";"Financial Analyst";"Female";46;4;"College";"Administration";4;116758;7744
"422";"Marketing Associate";"Female";49;5;"High School";"Sales";2;96500;8092
"423";"Manager";"Male";48;3;"College";"Management";5;138851;6929
"424";"Marketing Associate";"Female";34;4;"College";"Administration";1;49632;7169
"425";"Driver";"Female";45;3;"PhD";"Management";3;76700;7242
"426";"IT";"Male";58;4;"College";"Management";5;131275;6997
"427";"Manager";"Male";21;2;"PhD";"Operations";3;89648;6573
"428";"Graphic Designer";"Female";26;2;"Masters";"Administration";5;100516;6737
"429";"Manager";"Male";20;2;"PhD";"Operations";4;112854;6564
"430";"Software Engineer";"Male";60;4;"Masters";"Sales";5;155676;6586
"431";"Driver";"Male";57;4;"College";"Sales";4;135781;6042
"432";"Sales Associate";"Female";47;3;"College";"Engineering";2;84935;6122
"433";"Warehouse Associate";"Male";31;4;"High School";"Engineering";2;66407;7522
"434";"Driver";"Female";56;4;"PhD";"Sales";3;101249;7329
"435";"Manager";"Male";57;4;"Masters";"Administration";4;143189;6321
"436";"Graphic Designer";"Male";63;5;"PhD";"Engineering";1;105800;7822
"437";"Software Engineer";"Male";63;5;"College";"Operations";2;124871;7327
"438";"Data Scientist";"Male";23;3;"High School";"Sales";3;83894;6922
"439";"Manager";"Female";45;2;"High School";"Management";5;144146;6340
"440";"Marketing Associate";"Female";46;4;"PhD";"Sales";2;69268;7106
"441";"Sales Associate";"Male";63;5;"High School";"Sales";1;85948;7646
"442";"Software Engineer";"Male";20;2;"PhD";"Engineering";4;92289;6643
"443";"Financial Analyst";"Male";45;4;"High School";"Operations";2;75397;6490
"444";"Software Engineer";"Male";65;4;"High School";"Engineering";1;102597;5937
"445";"Sales Associate";"Female";63;4;"PhD";"Engineering";3;127561;7552
"446";"Warehouse Associate";"Male";26;3;"High School";"Sales";3;72945;7279
"447";"Software Engineer";"Male";60;3;"PhD";"Management";5;145632;6439
"448";"Marketing Associate";"Female";36;3;"Masters";"Sales";3;77223;5272
"449";"Manager";"Male";63;5;"Masters";"Operations";1;130093;6416
"450";"Marketing Associate";"Male";33;3;"PhD";"Administration";2;53220;5153
"451";"Warehouse Associate";"Female";41;3;"College";"Engineering";3;92080;6897
"452";"Graphic Designer";"Female";55;3;"College";"Sales";5;118762;6545
"453";"Sales Associate";"Female";21;2;"College";"Operations";5;85398;7113
"454";"Data Scientist";"Male";31;3;"College";"Operations";1;75227;6027
"455";"Data Scientist";"Male";41;3;"Masters";"Administration";4;104314;6611
"456";"Manager";"Male";27;3;"High School";"Operations";1;83262;6884
"457";"Data Scientist";"Female";55;3;"Masters";"Administration";4;123172;5797
"458";"Data Scientist";"Male";41;4;"PhD";"Administration";1;67040;7412
"459";"Warehouse Associate";"Male";33;3;"College";"Administration";1;77655;6581
"460";"Data Scientist";"Female";46;3;"College";"Administration";3;107476;6182
"461";"Software Engineer";"Male";45;4;"Masters";"Operations";2;89811;6471
"462";"Graphic Designer";"Male";47;3;"College";"Administration";5;106893;7958
"463";"Software Engineer";"Male";58;4;"Masters";"Engineering";5;154039;7304
"464";"Warehouse Associate";"Male";64;4;"High School";"Operations";3;116774;6160
"465";"Software Engineer";"Male";40;2;"High School";"Management";2;98281;5646
"466";"Marketing Associate";"Female";18;3;"High School";"Engineering";2;34208;6620
"467";"Software Engineer";"Male";42;3;"Masters";"Engineering";5;121821;6499
"468";"Software Engineer";"Male";30;2;"Masters";"Engineering";5;113122;6060
"469";"Software Engineer";"Male";39;4;"PhD";"Management";1;92154;7642
"470";"Manager";"Male";31;3;"PhD";"Engineering";2;110643;7291
"471";"Data Scientist";"Female";34;3;"PhD";"Administration";1;82345;7211
"472";"Data Scientist";"Male";32;3;"PhD";"Sales";4;103908;8109
"473";"Marketing Associate";"Female";24;3;"High School";"Engineering";3;49303;6615
"474";"IT";"Female";46;4;"High School";"Operations";3;98456;7177
"475";"Warehouse Associate";"Male";49;3;"PhD";"Operations";4;94927;6274
"476";"Software Engineer";"Male";30;2;"College";"Administration";5;76654;6696
"477";"Manager";"Male";46;4;"Masters";"Sales";1;107859;6989
"478";"Manager";"Female";53;4;"High School";"Operations";3;129885;7314
"479";"Graphic Designer";"Male";62;5;"Masters";"Sales";1;85702;6556
"480";"Financial Analyst";"Female";63;4;"Masters";"Operations";1;97797;5239
"481";"Manager";"Male";18;1;"Masters";"Management";5;115567;4775
"482";"Sales Associate";"Female";30;3;"High School";"Administration";4;91566;6996
"483";"Sales Associate";"Female";61;3;"PhD";"Management";4;131608;6537
"484";"Sales Associate";"Male";58;4;"PhD";"Administration";3;118888;7438
"485";"Graphic Designer";"Male";55;4;"College";"Sales";2;75833;6942
"486";"Financial Analyst";"Female";36;3;"College";"Engineering";2;65750;6177
"487";"Graphic Designer";"Male";65;4;"College";"Management";4;123371;6931
"488";"Marketing Associate";"Female";49;4;"Masters";"Sales";3;76806;6662
"489";"Warehouse Associate";"Male";38;3;"College";"Management";3;83774;7127
"490";"Warehouse Associate";"Female";22;1;"PhD";"Operations";5;114733;6290
"491";"Financial Analyst";"Male";22;3;"PhD";"Administration";2;69320;6765
"492";"Sales Associate";"Male";51;3;"PhD";"Operations";4;110746;5947
"493";"Graphic Designer";"Male";61;4;"Masters";"Engineering";2;105632;6394
"494";"Manager";"Male";62;4;"PhD";"Engineering";1;117648;4765
"495";"Driver";"Female";21;1;"PhD";"Management";4;89170;6722
"496";"Sales Associate";"Male";28;3;"College";"Management";3;85986;8160
"497";"Financial Analyst";"Male";32;4;"Masters";"Sales";3;78132;8035
"498";"Manager";"Male";57;4;"Masters";"Operations";3;135073;6898
"499";"Driver";"Female";52;4;"High School";"Operations";1;78751;6258
"500";"Software Engineer";"Male";64;5;"High School";"Sales";2;118231;7440
"501";"Data Scientist";"Male";58;5;"High School";"Operations";1;86651;7250
"502";"IT";"Female";36;3;"PhD";"Management";3;75518;6711
"503";"Data Scientist";"Male";44;3;"Masters";"Management";3;114693;6832
"504";"Financial Analyst";"Male";39;3;"Masters";"Engineering";4;116875;5479
"505";"IT";"Male";23;4;"PhD";"Administration";1;64468;8113
"506";"Marketing Associate";"Male";40;2;"PhD";"Sales";5;116834;5516
"507";"Marketing Associate";"Female";18;2;"Masters";"Management";5;75294;6496
"508";"Graphic Designer";"Female";63;3;"College";"Management";5;127608;6558
"509";"Financial Analyst";"Female";43;3;"College";"Sales";5;116069;6432
"510";"Driver";"Female";50;3;"High School";"Engineering";2;86122;6295
"511";"Warehouse Associate";"Male";23;2;"College";"Management";4;81988;7160
"512";"Warehouse Associate";"Female";22;2;"Masters";"Sales";2;68300;5953
"513";"Manager";"Male";60;4;"College";"Sales";2;148178;6777
"514";"Financial Analyst";"Female";50;3;"PhD";"Operations";2;94590;5327
"515";"Sales Associate";"Female";33;2;"College";"Engineering";4;87418;6430
"516";"Warehouse Associate";"Male";25;3;"College";"Administration";1;68384;7443
"517";"Manager";"Male";48;3;"PhD";"Operations";1;106056;4161
"518";"Software Engineer";"Male";35;2;"Masters";"Management";3;110886;6228
"519";"Graphic Designer";"Female";37;2;"Masters";"Management";3;104082;5477
"520";"IT";"Female";43;3;"Masters";"Management";4;94354;7052
"521";"Warehouse Associate";"Male";53;3;"PhD";"Engineering";5;128669;6866
"522";"Financial Analyst";"Male";40;3;"PhD";"Sales";3;88725;6243
"523";"Manager";"Male";56;3;"Masters";"Engineering";4;149771;5495
"524";"Financial Analyst";"Male";45;4;"Masters";"Management";2;98535;8001
"525";"Data Scientist";"Female";57;4;"PhD";"Sales";1;90713;6552
"526";"IT";"Male";33;3;"College";"Management";3;88749;7433
"527";"Graphic Designer";"Male";49;3;"Masters";"Operations";5;126100;6336
"528";"Manager";"Male";23;3;"College";"Sales";3;110594;6753
"529";"Manager";"Male";60;4;"College";"Management";3;157644;7213
"530";"Manager";"Female";41;3;"PhD";"Management";1;113009;6812
"531";"Financial Analyst";"Male";20;2;"PhD";"Engineering";4;105601;5943
"532";"Financial Analyst";"Male";56;4;"High School";"Engineering";3;100769;6453
"533";"Warehouse Associate";"Male";38;3;"High School";"Administration";2;82244;6020
"534";"Marketing Associate";"Female";55;4;"High School";"Administration";2;72030;5569
"535";"Driver";"Female";20;1;"College";"Management";3;66203;5627
"536";"Driver";"Female";34;2;"High School";"Management";3;67210;5662
"537";"Manager";"Female";32;2;"PhD";"Management";2;115383;5878
"538";"Graphic Designer";"Female";49;3;"PhD";"Engineering";4;120697;7205
"539";"Graphic Designer";"Male";29;3;"PhD";"Operations";2;70311;6235
"540";"Data Scientist";"Female";49;3;"College";"Engineering";4;125770;7301
"541";"Warehouse Associate";"Male";33;1;"College";"Engineering";5;100465;5520
"542";"Software Engineer";"Male";30;2;"College";"Administration";4;83264;6251
"543";"Warehouse Associate";"Male";61;3;"PhD";"Engineering";4;126375;6630
"544";"Driver";"Male";25;3;"College";"Engineering";1;43076;5829
"545";"Data Scientist";"Female";37;2;"College";"Sales";5;97846;7198
"546";"Sales Associate";"Female";24;2;"Masters";"Management";3;76522;6900
"547";"Driver";"Male";42;3;"PhD";"Operations";4;111726;5989
"548";"Sales Associate";"Male";55;4;"College";"Administration";3;112188;6689
"549";"Data Scientist";"Male";35;2;"College";"Operations";5;98959;6572
"550";"Sales Associate";"Female";35;2;"College";"Management";4;87131;6356
"551";"IT";"Male";40;3;"College";"Administration";3;77881;5569
"552";"IT";"Male";36;3;"Masters";"Engineering";2;65225;6462
"553";"Driver";"Male";30;4;"Masters";"Operations";1;78472;8439
"554";"Financial Analyst";"Male";58;4;"College";"Operations";4;126269;6490
"555";"Warehouse Associate";"Male";61;3;"High School";"Management";3;106233;5792
"556";"IT";"Female";37;3;"High School";"Sales";2;56656;5914
"557";"IT";"Female";42;3;"High School";"Engineering";2;70157;6016
"558";"Data Scientist";"Female";41;2;"PhD";"Engineering";2;98366;6398
"559";"Manager";"Male";59;4;"College";"Engineering";2;127013;6124
"560";"Software Engineer";"Male";53;3;"High School";"Management";3;106146;6618
"561";"Manager";"Male";22;2;"Masters";"Operations";4;90736;6219
"562";"Graphic Designer";"Male";44;3;"PhD";"Sales";1;66611;5924
"563";"Manager";"Male";57;3;"PhD";"Operations";5;150914;5982
"564";"Graphic Designer";"Male";30;2;"Masters";"Management";4;70559;6497
"565";"Data Scientist";"Female";33;3;"College";"Sales";1;73798;6224
"566";"Graphic Designer";"Male";22;2;"High School";"Sales";3;69734;5383
"567";"Marketing Associate";"Female";52;3;"High School";"Sales";3;94763;5668
"568";"Financial Analyst";"Female";23;2;"College";"Administration";5;101534;6861
"569";"Graphic Designer";"Male";23;1;"PhD";"Management";5;91504;5136
"570";"Sales Associate";"Female";19;1;"College";"Management";4;90426;5020
"571";"Manager";"Male";20;2;"Masters";"Operations";3;100183;6363
"572";"IT";"Female";62;4;"College";"Operations";2;99369;6746
"573";"Graphic Designer";"Female";40;3;"College";"Operations";1;55845;6616
"574";"Financial Analyst";"Female";26;3;"College";"Administration";2;48570;6604
"575";"Data Scientist";"Male";56;3;"Masters";"Engineering";3;98165;5470
"576";"Data Scientist";"Female";57;3;"Masters";"Operations";3;113274;6186
"577";"Software Engineer";"Male";23;2;"Masters";"Engineering";3;95754;6596
"578";"Data Scientist";"Male";27;2;"College";"Engineering";1;57915;4584
"579";"Manager";"Male";53;4;"College";"Sales";2;121506;6122
"580";"Manager";"Male";37;3;"Masters";"Management";1;121151;5934
"581";"Marketing Associate";"Female";46;3;"College";"Management";3;86241;5814
"582";"Data Scientist";"Male";40;2;"Masters";"Management";2;87682;4152
"583";"Software Engineer";"Male";42;2;"College";"Administration";3;114029;6842
"584";"IT";"Male";43;3;"College";"Management";1;67323;4680
"585";"Data Scientist";"Male";28;3;"High School";"Management";2;68049;6660
"586";"IT";"Male";39;3;"High School";"Engineering";4;93335;5243
"587";"Driver";"Female";55;3;"PhD";"Operations";2;100433;5090
"588";"Marketing Associate";"Female";62;3;"PhD";"Operations";5;123242;5453
"589";"Sales Associate";"Female";32;2;"PhD";"Administration";2;87585;6476
"590";"IT";"Female";18;2;"Masters";"Sales";1;45747;4890
"591";"Marketing Associate";"Female";41;3;"High School";"Administration";2;36972;7058
"592";"Sales Associate";"Female";29;3;"High School";"Management";3;64754;7377
"593";"IT";"Female";44;2;"PhD";"Operations";5;132267;5679
"594";"Driver";"Male";53;3;"PhD";"Administration";3;111043;5838
"595";"Warehouse Associate";"Male";25;2;"Masters";"Engineering";1;58130;6327
"596";"IT";"Male";27;3;"PhD";"Operations";3;90542;7554
"597";"Manager";"Male";40;2;"College";"Administration";2;124891;5436
"598";"Marketing Associate";"Female";54;3;"PhD";"Engineering";5;112507;7460
"599";"Marketing Associate";"Female";64;4;"College";"Sales";5;100316;6010
"600";"Software Engineer";"Male";63;3;"PhD";"Engineering";2;134757;5944
"601";"Manager";"Male";42;3;"College";"Sales";4;125339;6019
"602";"IT";"Female";62;4;"College";"Management";3;111120;6536
"603";"Data Scientist";"Female";36;3;"High School";"Operations";3;76523;7122
"604";"Driver";"Female";50;3;"College";"Operations";2;91160;5863
"605";"Manager";"Male";28;3;"College";"Sales";2;105795;6179
"606";"Financial Analyst";"Female";18;2;"High School";"Operations";2;66935;6508
"607";"Sales Associate";"Male";19;1;"PhD";"Management";3;75238;5308
"608";"Data Scientist";"Female";55;2;"Masters";"Sales";5;138365;5359
"609";"Software Engineer";"Male";42;2;"College";"Management";1;103978;5146
"610";"IT";"Male";65;4;"Masters";"Sales";5;165229;6506
"611";"Warehouse Associate";"Male";54;2;"Masters";"Engineering";4;118322;5224
"612";"Graphic Designer";"Male";39;2;"Masters";"Operations";5;106883;5831
"613";"Marketing Associate";"Female";45;2;"High School";"Management";2;59006;5876
"614";"Manager";"Male";30;1;"PhD";"Engineering";4;125164;5888
"615";"Software Engineer";"Male";53;4;"High School";"Operations";1;89225;5751
"616";"Driver";"Male";63;4;"High School";"Sales";2;101716;5881
"617";"Marketing Associate";"Female";45;3;"Masters";"Sales";3;74305;7126
"618";"Marketing Associate";"Female";30;3;"Masters";"Administration";1;38451;5562
"619";"Graphic Designer";"Female";48;1;"High School";"Operations";5;113465;3846
"620";"Sales Associate";"Female";27;2;"College";"Operations";2;66377;5803
"621";"Financial Analyst";"Male";31;3;"PhD";"Engineering";1;79142;5445
"622";"Graphic Designer";"Female";20;1;"Masters";"Operations";4;55569;5236
"623";"Graphic Designer";"Male";60;4;"Masters";"Engineering";1;97240;5412
"624";"Manager";"Female";25;1;"Masters";"Management";5;119033;6381
"625";"Marketing Associate";"Female";65;3;"Masters";"Administration";5;106315;5618
"626";"Driver";"Male";24;2;"College";"Engineering";3;81301;5713
"627";"Software Engineer";"Male";23;1;"PhD";"Management";2;79462;4673
"628";"IT";"Female";28;1;"PhD";"Sales";5;105598;5380
"629";"Data Scientist";"Male";30;2;"College";"Operations";3;72497;6452
"630";"Financial Analyst";"Female";23;1;"High School";"Management";4;78084;5598
"631";"Graphic Designer";"Male";50;3;"Masters";"Management";1;84803;5406
"632";"Graphic Designer";"Female";18;2;"College";"Administration";1;41603;6092
"633";"Driver";"Female";47;2;"Masters";"Operations";2;78002;5175
"634";"Warehouse Associate";"Male";56;3;"Masters";"Administration";2;79274;4618
"635";"IT";"Male";20;2;"PhD";"Management";1;49622;5452
"636";"Sales Associate";"Male";62;3;"College";"Management";3;129620;5608
"637";"Software Engineer";"Male";36;2;"High School";"Administration";4;87848;5166
"638";"Driver";"Male";24;2;"College";"Management";3;51906;6274
"639";"Sales Associate";"Female";44;2;"High School";"Engineering";3;81866;5183
"640";"Financial Analyst";"Male";24;2;"PhD";"Engineering";3;71590;5845
"641";"Warehouse Associate";"Male";19;2;"High School";"Sales";2;63928;4998
"642";"Driver";"Male";44;4;"High School";"Administration";4;83333;7113
"643";"Marketing Associate";"Male";49;3;"High School";"Administration";4;92797;5405
"644";"Financial Analyst";"Male";36;3;"PhD";"Operations";1;93067;5103
"645";"Graphic Designer";"Male";22;2;"High School";"Sales";3;72422;5697
"646";"Driver";"Male";59;3;"College";"Operations";3;120159;4265
"647";"Data Scientist";"Female";39;3;"Masters";"Operations";3;91711;6775
"648";"Marketing Associate";"Female";50;3;"Masters";"Sales";5;93805;6044
"649";"Marketing Associate";"Female";58;3;"Masters";"Operations";5;109931;5878
"650";"Marketing Associate";"Female";42;2;"College";"Administration";5;88365;4668
"651";"Financial Analyst";"Male";58;4;"Masters";"Operations";3;104744;6425
"652";"Warehouse Associate";"Female";44;3;"High School";"Administration";1;79334;6505
"653";"Driver";"Male";41;2;"Masters";"Administration";4;95795;4898
"654";"Financial Analyst";"Female";58;3;"PhD";"Engineering";1;98512;4548
"655";"Data Scientist";"Female";33;2;"High School";"Operations";4;78910;5927
"656";"Manager";"Male";22;1;"College";"Management";2;103156;6277
"657";"Driver";"Male";35;2;"High School";"Administration";5;92760;4826
"658";"Warehouse Associate";"Female";42;1;"PhD";"Operations";5;125574;5688
"659";"Data Scientist";"Male";62;4;"College";"Operations";3;93742;6580
"660";"Sales Associate";"Male";50;2;"Masters";"Engineering";5;124470;5454
"661";"Software Engineer";"Male";51;2;"Masters";"Engineering";3;132323;4872
"662";"Sales Associate";"Male";22;1;"High School";"Sales";4;70595;5234
"663";"Software Engineer";"Male";32;2;"College";"Operations";1;71278;4701
"664";"Data Scientist";"Male";33;2;"High School";"Engineering";2;53855;4980
"665";"IT";"Male";35;1;"College";"Management";4;98423;3879
"666";"Software Engineer";"Male";47;2;"Masters";"Operations";4;126239;5396
"667";"Sales Associate";"Male";53;2;"Masters";"Management";5;101133;4700
"668";"Warehouse Associate";"Male";23;1;"High School";"Administration";4;92516;5866
"669";"Data Scientist";"Male";49;3;"College";"Administration";3;93320;7236
"670";"Warehouse Associate";"Female";45;1;"High School";"Administration";5;106963;5084
"671";"IT";"Female";26;1;"PhD";"Sales";5;111770;5345
"672";"IT";"Male";33;2;"Masters";"Engineering";5;106584;5426
"673";"Marketing Associate";"Female";26;2;"High School";"Operations";3;57672;6476
"674";"Warehouse Associate";"Male";50;3;"Masters";"Administration";1;90612;5913
"675";"Graphic Designer";"Female";35;2;"High School";"Engineering";5;97768;7233
"676";"Financial Analyst";"Male";31;2;"PhD";"Administration";3;82790;5826
"677";"Graphic Designer";"Female";50;3;"Masters";"Administration";1;76103;5173
"678";"Financial Analyst";"Male";38;3;"Masters";"Administration";1;84628;5680
"679";"Warehouse Associate";"Female";59;2;"College";"Management";2;93441;5499
"680";"Marketing Associate";"Male";42;2;"Masters";"Management";5;110636;5239
"681";"Data Scientist";"Female";55;3;"PhD";"Administration";1;108366;5108
"682";"Manager";"Male";38;2;"Masters";"Management";3;135106;5066
"683";"Warehouse Associate";"Female";55;2;"PhD";"Administration";3;85453;5135
"684";"Graphic Designer";"Male";54;3;"High School";"Management";3;100160;5562
"685";"Data Scientist";"Female";48;2;"College";"Administration";3;79765;5329
"686";"Manager";"Male";48;2;"PhD";"Engineering";4;157169;5798
"687";"Financial Analyst";"Female";63;3;"PhD";"Engineering";3;129683;5754
"688";"Financial Analyst";"Female";20;1;"College";"Management";2;76908;4756
"689";"Financial Analyst";"Female";53;3;"High School";"Management";1;93696;5029
"690";"Driver";"Male";40;3;"High School";"Sales";2;88230;5512
"691";"Sales Associate";"Female";46;2;"Masters";"Management";2;83095;5284
"692";"IT";"Female";26;2;"College";"Sales";3;81325;5647
"693";"Warehouse Associate";"Female";62;2;"PhD";"Engineering";2;102106;5195
"694";"Graphic Designer";"Female";43;1;"PhD";"Engineering";1;80635;4322
"695";"Marketing Associate";"Female";32;2;"College";"Sales";3;73404;5038
"696";"Data Scientist";"Male";44;3;"High School";"Sales";1;83674;4854
"697";"IT";"Male";62;3;"Masters";"Engineering";4;118314;4892
"698";"Graphic Designer";"Female";57;2;"Masters";"Sales";5;133741;4925
"699";"Software Engineer";"Male";50;3;"PhD";"Sales";1;119522;4650
"700";"Sales Associate";"Male";40;2;"High School";"Administration";3;84592;4635
"701";"Sales Associate";"Male";64;3;"PhD";"Sales";2;121589;5133
"702";"Manager";"Female";28;1;"High School";"Engineering";4;104329;4962
"703";"Warehouse Associate";"Male";24;1;"College";"Engineering";3;71371;5220
"704";"Data Scientist";"Male";59;4;"Masters";"Sales";1;96582;6350
"705";"Data Scientist";"Male";62;3;"PhD";"Sales";3;108778;4357
"706";"Driver";"Male";63;3;"PhD";"Management";4;128520;6151
"707";"Sales Associate";"Female";34;1;"High School";"Management";5;102745;6303
"708";"Manager";"Female";62;4;"Masters";"Administration";3;146008;6235
"709";"Marketing Associate";"Female";44;2;"PhD";"Management";2;68364;4076
"710";"Driver";"Male";31;2;"High School";"Administration";4;62753;5735
"711";"Data Scientist";"Female";27;1;"High School";"Administration";5;96584;5293
"712";"Software Engineer";"Male";32;1;"College";"Engineering";5;128680;4677
"713";"Manager";"Male";55;2;"College";"Management";5;152710;6107
"714";"Software Engineer";"Male";36;1;"High School";"Operations";5;109136;4572
"715";"Data Scientist";"Female";53;2;"PhD";"Operations";2;102265;4760
"716";"Marketing Associate";"Female";33;1;"High School";"Management";5;81249;4845
"717";"IT";"Female";56;3;"Masters";"Management";2;101791;6083
"718";"Marketing Associate";"Female";62;4;"College";"Sales";1;77584;4524
"719";"Driver";"Female";36;1;"Masters";"Administration";3;88175;5004
"720";"Data Scientist";"Female";21;1;"PhD";"Engineering";2;65816;6817
"721";"IT";"Male";33;2;"Masters";"Sales";1;84878;5009
"722";"Marketing Associate";"Female";28;1;"Masters";"Engineering";5;73685;4439
"723";"IT";"Female";27;1;"Masters";"Administration";2;55560;4449
"724";"Software Engineer";"Male";36;2;"Masters";"Administration";2;94745;5930
"725";"Data Scientist";"Female";43;2;"PhD";"Sales";3;106452;5346
"726";"Sales Associate";"Male";46;2;"College";"Management";2;95505;4549
"727";"Software Engineer";"Male";25;1;"High School";"Engineering";4;103181;4566
"728";"Software Engineer";"Male";40;2;"Masters";"Sales";1;120096;4690
"729";"Warehouse Associate";"Female";47;2;"College";"Administration";2;87575;4422
"730";"Sales Associate";"Male";51;3;"High School";"Management";2;98499;6274
"731";"Driver";"Female";60;2;"PhD";"Sales";3;113140;4079
"732";"Manager";"Male";56;2;"PhD";"Administration";4;152081;4621
"733";"Data Scientist";"Female";40;1;"Masters";"Management";5;100505;4626
"734";"IT";"Female";60;3;"Masters";"Management";2;104589;4536
"735";"Manager";"Male";36;2;"Masters";"Sales";3;134450;5214
"736";"IT";"Female";48;3;"High School";"Management";1;61081;6337
"737";"Manager";"Male";37;2;"PhD";"Operations";1;100819;5390
"738";"Software Engineer";"Male";64;2;"PhD";"Sales";5;157277;4844
"739";"Marketing Associate";"Female";51;2;"High School";"Management";2;79237;4453
"740";"Driver";"Male";20;2;"High School";"Sales";2;68175;5698
"741";"Driver";"Female";61;2;"College";"Management";4;108475;4489
"742";"Software Engineer";"Male";65;3;"High School";"Sales";2;122624;4165
"743";"Graphic Designer";"Female";34;1;"College";"Management";4;99942;5352
"744";"Data Scientist";"Female";58;2;"PhD";"Engineering";2;108296;4708
"745";"Graphic Designer";"Male";45;2;"Masters";"Management";2;101273;3817
"746";"Sales Associate";"Male";18;1;"Masters";"Administration";3;59334;5729
"747";"Manager";"Male";43;1;"PhD";"Management";4;152625;4702
"748";"IT";"Female";62;3;"College";"Sales";4;126370;6032
"749";"Financial Analyst";"Female";45;2;"Masters";"Administration";5;122142;5435
"750";"Driver";"Female";19;1;"High School";"Operations";4;75919;5613
"751";"Data Scientist";"Male";26;1;"Masters";"Operations";3;90526;4191
"752";"IT";"Female";47;2;"PhD";"Administration";3;103416;5536
"753";"Manager";"Male";59;3;"College";"Engineering";3;133910;5795
"754";"Driver";"Female";63;3;"High School";"Sales";1;104468;4466
"755";"Sales Associate";"Female";57;2;"High School";"Management";4;117202;5068
"756";"Data Scientist";"Female";51;1;"PhD";"Sales";5;139141;4969
"757";"Warehouse Associate";"Female";58;1;"Masters";"Management";4;134109;4184
"758";"Sales Associate";"Female";24;1;"High School";"Administration";2;66887;5014
"759";"Data Scientist";"Male";41;1;"College";"Operations";5;77839;4458
"760";"Driver";"Male";21;1;"High School";"Sales";2;61018;5513
"761";"IT";"Female";58;2;"High School";"Sales";4;124847;3100
"762";"Financial Analyst";"Female";33;2;"PhD";"Administration";1;50758;5386
"763";"Graphic Designer";"Female";34;1;"PhD";"Operations";3;75316;5861
"764";"Driver";"Male";54;3;"PhD";"Sales";2;118093;4115
"765";"Software Engineer";"Male";31;1;"College";"Operations";4;106503;5225
"766";"Graphic Designer";"Female";55;2;"College";"Administration";3;111502;4413
"767";"Sales Associate";"Female";47;1;"PhD";"Engineering";4;116642;4621
"768";"Financial Analyst";"Male";55;3;"College";"Operations";1;84683;4476
"769";"IT";"Female";45;2;"PhD";"Sales";4;113283;5404
"770";"Marketing Associate";"Female";48;2;"High School";"Administration";4;86538;4212
"771";"Marketing Associate";"Female";62;3;"Masters";"Engineering";2;77742;5430
"772";"Software Engineer";"Male";22;1;"College";"Sales";1;67913;4045
"773";"Financial Analyst";"Female";54;2;"College";"Sales";2;114171;3768
"774";"Manager";"Male";47;1;"Masters";"Engineering";4;155826;4964
"775";"Graphic Designer";"Female";63;2;"College";"Operations";4;106204;4534
"776";"Graphic Designer";"Female";38;1;"High School";"Administration";4;111041;3727
